Energy (eV),Kalpha1,Kalpha1-1s,Kalpha1-2s,Kalpha1-2p*,Kalpha1-2p,Kalpha1-3s,Kalpha1-3p*,Kalpha1-3p,Kalpha1-3d*,Kalpha1-3d,Kalpha1-4s,Kalpha2,Kalpha2-1s,Kalpha2-2s,Kalpha2-2p*,Kalpha2-2p,Kalpha2-3s,Kalpha2-3p*,Kalpha2-3p,Kalpha2-3d*,Kalpha2-3d,Kalpha2-4s,Total
8008.617234468938,0.37869610539116805,2.7829078569445715e-06,0.0013734649798797863,0.00014935422699418412,0.0008566494527727607,0.0020149899133068572,0.0008089817919049915,0.0029193338341964113,0.010194605448242616,0.012642837001266845,0.04360430367731038,0.828523200224894,1.1087632437899421e-05,0.002504013751890181,0.00014955923575044234,0.000418867227238743,0.00412803973438819,0.002260128282504686,0.00852157127653658,0.026871708662447258,0.04338475519722031,0.09579340566324387,1.4658297455134524
8008.817635270541,0.3826628522117237,2.7861506704966557e-06,0.001381693430374555,0.0001501529566987419,0.0008615021813614121,0.0020352118755421087,0.0008167721993584627,0.00294635923543539,0.010305521812004994,0.012776184094029586,0.04405858164571233,0.846738424116207,1.110149609624707e-05,0.002535981794838643,0.00015088588386355476,0.00042230210887882327,0.004211298303803387,0.0023020790866087213,0.008693356732786076,0.027490951593933766,0.0444082315523614,0.09787525435807477,1.4928374848203632
8009.018036072144,0.38669223482990617,2.7893991553450998e-06,0.0013899959278309564,0.00015095811277370498,0.0008663964097871794,0.0020557397280459126,0.0008246756718701181,0.0029737617037374517,0.01041825858186607,0.01291165574890868,0.04451999369473779,0.8655602470866559,1.1115385772334107e-05,0.0025685175947838183,0.00015223025266858102,0.0004257801274679876,0.004297100271614048,0.002345245465338469,0.008870388952714102,0.02813197050005515,0.04546831187392751,0.10002561984251106,1.5206629871621289
8009.218436873747,0.39078557854089097,2.7926533247219817e-06,0.0013983733612232489,0.00015176976436213728,0.0008713326141926966,0.0020765796704013822,0.0008326944078057728,0.0030015482872646037,0.010532855821074922,0.013049297423868487,0.044988689943329496,0.885015870248269,1.1129301531302668e-05,0.002601632827352254,0.00015359265900581425,0.00042930202062080146,0.004385550260141236,0.0023896763853827746,0.009052883772770384,0.028795803920411367,0.046566760447166865,0.10224753780000104,1.549341252130391
8009.418837675351,0.39494424386766935,2.7959131918979878e-06,0.0014068266328612215,0.00015258798153972792,0.0008763112775902522,0.0020977380600255913,0.0008408306592165069,0.003029726199649223,0.010649354701316775,0.01318915580159152,0.045464824478644084,0.9051340346138099,1.1143243438498885e-05,0.002635339387379991,0.00015497342682458746,0.00043286854205012635,0.00447675832551194,0.0024354233836648242,0.009241068241835135,0.02948355335424123,0.04770544900632392,0.10454421367105744,1.5789092207694337
8009.619238476954,0.39916962769032593,2.7991787701825145e-06,0.0014153566586297568,0.00015341283532991875,0.0008813328899813443,0.0021192214170150867,0.0008490867334193433,0.0030583028246777785,0.010767797539723435,0.013331278829367726,0.0459485554825475,0.9259451267594174,1.1157211559473475e-05,0.0026696493891576524,0.00015637288737541623,0.0004364804619973813,0.004570840299791426,0.0024825407357348546,0.00943518132741964,0.030196387916588425,0.04888636467295339,0.10691903415620294,1.609405907897986
8009.819639278557,0.4034631644179397,2.80245007292388e-06,0.0014239643682337488,0.00015424439771935378,0.0008863979484788835,0.0021410364291667193,0.0008574649946328264,0.0030872857211311586,0.01088822783733867,0.013475715760516968,0.04644004536285851,0.9474812930323009,1.117120595998287e-05,0.002704575166263544,0.0001577913794082827,0.0004401385676766365,0.004667918158513422,0.0025310856375050914,0.009635474674309702,0.030935549402749778,0.050111618586019015,0.10937557963733542,1.6408725451361312
8010.0200400801605,0.4078263272046027,2.805727113509427e-06,0.0014326507054478086,0.00015508274167358826,0.0008915069574316958,0.002163189957179262,0.0008659678656689994,0.0031166826277852122,0.011010690319094334,0.013622517197400576,0.046939460889504354,0.9697765630995061,1.1185226705989819e-05,0.00274012927094056,0.00015922924937716797,0.0004438436637327548,0.004768120415777519,0.002581118401569706,0.009842213420132983,0.03170235780250536,0.051383455293331874,0.11191763760194215,1.6733527356384243
8010.220440881763,0.41226062921163964,2.8090099053656103e-06,0.0014414166283712147,0.00015592794115309793,0.0008966604285515808,0.0021856890400442034,0.0008745978296843654,0.003146501468578813,0.011135230975370506,0.01377173513609821,0.04744697333582002,0.9928669837207983,1.1199273863663957e-05,0.0027763244729736296,0.00016068685165111825,0.0004475965727142507,0.004871582549306147,0.0026327026694926564,0.010055677072792063,0.03249821731054382,0.05270426298199452,0.11454921716372332,1.7068926216450704
8010.420841683367,0.4167676249182536,2.8122984619582356e-06,0.0014502631096886388,0.00015678007112963324,0.0009018588810432241,0.002208540900634666,0.0008833574319925862,0.0031767503579572497,0.011261897105217453,0.013923423012831233,0.04796275862523816,1.0167907637237548,1.1213347499383051e-05,0.0028131737580215314,0.0001621645487321512,0.0004513981355615905,0.004978447458090431,0.0026859056415982326,0.010276160455194442,0.03332462288497375,0.05407658463454057,0.1172745647831252,1.7415410660835409
8010.62124248497,0.4213489114822114,2.8155927967924848e-06,0.0014591911369357822,0.00015763920760282949,0.0009071028417364439,0.0022317529514981776,0.0008922492819404218,0.0032074376063943194,0.01139073736130137,0.014077635752193798,0.048486997483546214,1.0415884312616193,1.1227447679733258e-05,0.0028506903253477035,0.00016366271148008765,0.00045524921211108414,0.005088865955499093,0.0027407983259608954,0.010503974723216845,0.034183167411876964,0.05550313020742416,0.12009818130193843,1.7773498495823115
8010.821643286573,0.4260061301533963,2.8188929234131556e-06,0.0014682017127712495,0.00015850542761719515,0.0009123928452215307,0.00225533280086504,0.000901276054850658,0.0032385717261041946,0.011521801796670634,0.014234429817293906,0.049019875597025926,1.0673030045592715,1.1241574471510365e-05,0.0028888875848999923,0.0001651817193447665,0.00045915068161547865,0.005202997301041037,0.002797455808495334,0.010739448463495015,0.03507554954108241,0.056986789940361215,0.12302484041917927,1.8143738844179969
